No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
1,1,1,9.854166667,10.45,10329,-116.88975,32.455115,-116.948734,32.498086,0.4833333,INCREMENTO,1
4,1,1,13.79138889,4.816666667,1221,-116.87713,32.502443,-116.88705,32.503522,-2.85,DP,2
6,1,1,14.76777778,26.06666667,5727,-116.989852,32.481208,-116.962763,32.5035,-18.9,DM,3
4,1,1,15.29833333,5.45,4925,-116.9627,32.515113,-117.009988,32.525473,-0.6333333,INCREMENTO,1
7,1,1,16.59055556,5.833333333,3146,-116.976136,32.491838,-116.997058,32.483616,-1.8333333,DP,2
6,1,1,18.3625,1.316666667,281,-116.96879,32.48736,-116.968045,32.488525,0.6833333,INCREMENTO,1
6,1,1,19.52944444,13.16666667,5319,-116.941663,32.510727,-116.92439,32.540662,-3.4,DP,2
6,1,1,20.45305556,15.73333333,9604,-117.010563,32.523538,-116.935635,32.49549,-2.1666667,DP,2
5,1,1,21.01694444,18.75,9410,-116.916001,32.460922,-116.969851,32.508286,-9.8,DM,3
7,1,1,21.19638889,6.316666667,1112,-116.923606,32.54177,-116.929895,32.544172,2.6833333,INCREMENTO,1
5,1,1,22.09472222,13.71666667,6283,-116.941569,32.386057,-116.964107,32.412108,0.3,INCREMENTO,1
2,1,1,22.16694444,5.75,844,-116.962992,32.505503,-116.96988,32.508355,-3.4166667,DP,2
2,2,1,0.396666667,2.983333333,989,-116.890475,32.455598,-116.885072,32.448118,-1.3666667,INCREMENTO,1
1,2,1,0.760277778,30.68333333,10280,-116.790658,32.471267,-116.884726,32.448679,-19.6833333,DM,3
4,2,1,9.305277778,0.433333333,277,-116.914187,32.46468,-116.91172,32.463312,0.5666667,INCREMENTO,1
5,2,1,10.06527778,4.216666667,2419,-116.961199,32.486451,-116.971622,32.467644,-1.2166667,INCREMENTO,1
6,2,1,10.97777778,9.2,6490,-117.01005,32.525492,-116.963973,32.506873,-0.1,INCREMENTO,1
3,2,1,11.95916667,23.7,15413,-116.868167,32.496932,-117.00994,32.525682,-8.85,DM,3
6,2,1,12.10666667,11.45,8227,-116.999308,32.473648,-117.033463,32.470427,5.8833333,INCREMENTO,1
3,2,1,13.72,1.733333333,370,-117.013284,32.516446,-117.010588,32.514137,-0.7333333,INCREMENTO,1
6,2,1,13.80583333,9.116666667,8301,-116.900233,32.530843,-116.963835,32.516653,5.0333333,INCREMENTO,1
1,2,1,13.8575,2.533333333,645,-116.901696,32.506503,-116.905023,32.508509,2.4666667,INCREMENTO,1
6,2,1,15.75277778,14.11666667,4860,-116.966467,32.499012,-116.984422,32.520473,-4.9333333,DP,2
1,2,1,16.6525,18.1,6435,-116.871195,32.497723,-116.884728,32.448679,-8.1,DM,3
